Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits	species
GCF_025309755.1	Bacillus safensis	Complete Genome	current	3751152	1	SAMN30816007	Isolated from peanut rhizosphere soil	China: Guangxi,Nanning		non_saline_candidate		Bacillus safensis
GCF_026786405.1	Bacillus safensis	Scaffold	current	3599723	160	SAMN25520158	soil	France: Paris		non_saline_candidate		Bacillus safensis
GCF_026787025.1	Bacillus safensis	Scaffold	current	3766325	85	SAMN25843200	soil	France		non_saline_candidate		Bacillus safensis
GCF_026787045.1	Bacillus pumilus	Scaffold	current	3824931	143	SAMN25843198	soil	France: Pyrenees		non_saline_candidate		Bacillus pumilus
GCF_026787055.1	Bacillus pumilus	Scaffold	current	3875490	91	SAMN25843199	soil	France: Pyrenees		non_saline_candidate		Bacillus pumilus
GCF_026787105.1	Bacillus safensis	Scaffold	current	3708524	180	SAMN25843196	soil	India: Orissa		non_saline_candidate		Bacillus safensis
GCF_026787225.1	Bacillus safensis	Scaffold	current	3860972	90	SAMN25843190	soil	Greenland		non_saline_candidate		Bacillus safensis
GCF_026787305.1	Bacillus safensis	Scaffold	current	3698105	189	SAMN25843186	soil	Greenland		non_saline_candidate		Bacillus safensis
GCF_026787365.1	Bacillus safensis	Scaffold	current	3771918	28	SAMN25843185	soil	Greenland		non_saline_candidate		Bacillus safensis
GCF_026787445.1	Bacillus pumilus	Scaffold	current	3622944	43	SAMN25843179	soil	Greenland		non_saline_candidate		Bacillus pumilus
GCF_026787785.1	Bacillus pumilus	Scaffold	current	3886449	21	SAMN25843162	soil	France: Col du Grand Saint Bernard		non_saline_candidate		Bacillus pumilus
GCF_026787815.1	Bacillus safensis	Scaffold	current	3752049	98	SAMN25843161	soil	Cote d'Ivoire: Africa		non_saline_candidate		Bacillus safensis
GCF_027497635.1	Bacillus safensis	Scaffold	current	3798090	59	SAMN23574915	soil	Guatemala: Cubilhuitz		non_saline_candidate		Bacillus safensis
GCF_028463885.1	Bacillus safensis	Complete Genome	current	3769976	1	SAMN32902172	soil	South Korea:Sunchang		non_saline_candidate		Bacillus safensis
GCF_029211445.1	Bacillus safensis	Scaffold	current	3677242	14	SAMN32912879	soil, rose rhizosphere	USA: La Verne, California		non_saline_candidate		Bacillus safensis
GCF_029634685.1	Bacillus pumilus	Complete Genome	current	3824664	1	SAMN26309570	soil	Germany		non_saline_candidate		Bacillus pumilus
GCF_029857515.2	Bacillus pumilus	Complete Genome	current	3792642	2	SAMN33591697	soil	not applicable		non_saline_candidate		Bacillus pumilus
GCF_030122825.1	Bacillus pumilus	Complete Genome	current	3892007	1	SAMN34374851	forest soil	Denmark: Jaegersborg Dyrehave		non_saline_candidate		Bacillus pumilus
GCF_030167015.1	Bacillus pumilus	Complete Genome	current	3813964	1	SAMN34374891	soil in warm, humid forested area with dark clay soils (5 cm deep)	Mexico: Tepoztlan, Morelos		non_saline_candidate		Bacillus pumilus
GCF_030292035.1	Bacillus safensis	Complete Genome	current	3677506	2	SAMN34374889	pine forrest soil between two spruce trees	Germany: near Munchenroda, Jena		non_saline_candidate		Bacillus safensis
GCF_032911305.1	Bacillus safensis	Scaffold	current	3671999	23	SAMN37738838	plant	India: Kerala	Nerium oleander	non_saline_candidate		Bacillus safensis
GCF_035818275.1	Bacillus pumilus	Scaffold	current	3654073	67	SAMN33940750	soil	Canada		non_saline_candidate		Bacillus pumilus
GCF_035823575.1	Bacillus pumilus	Scaffold	current	3866169	79	SAMN33940710	soil	not collected		non_saline_candidate		Bacillus pumilus
GCF_035823675.1	Bacillus safensis	Scaffold	current	3775522	53	SAMN33940704	soil	not collected		non_saline_candidate		Bacillus safensis
GCF_036209295.1	Bacillus safensis	Scaffold	current	3757567	27	SAMN32927411	soil	Trinidad and Tobago: Trinidad, Talparo		non_saline_candidate		Bacillus safensis
GCF_036210225.1	Bacillus pumilus	Scaffold	current	3728010	54	SAMN32927368	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus pumilus
GCF_036222405.1	Bacillus pumilus	Scaffold	current	3779973	27	SAMN33941058	soil	USA		non_saline_candidate		Bacillus pumilus
GCF_040829855.1	Bacillus pumilus	Scaffold	current	3821255	46	SAMN42518158	rhizosphere	Canada: Montreal	wheat	non_saline_candidate		Bacillus pumilus
GCF_040893075.1	Bacillus pumilus	Complete Genome	current	3699913	1	SAMN42554341	rhizosphere of strawberry	Canada: Bouctouche, New-Brunswick		non_saline_candidate		Bacillus pumilus
GCF_047424865.1	Bacillus pumilus	Complete Genome	current	3619818	2	SAMN45898837	soil	China		non_saline_candidate		Bacillus pumilus
GCF_055597785.1	Bacillus pumilus	Complete Genome	current	3962614	1	SAMN55849006	sod-podzolic soil	Belarus: Gomel region		non_saline_candidate		Bacillus pumilus
GCF_055694105.1	Bacillus pumilus	Complete Genome	current	3651153	1	SAMN54251678	soil	Italy		non_saline_candidate		Bacillus pumilus
GCF_056237595.1	Bacillus pumilus	Complete Genome	current	3724538	1	SAMN50521516	soil	USA: Brookings, South Dakota	corn	non_saline_candidate		Bacillus pumilus
GCF_056393465.1	Bacillus pumilus	Complete Genome	current	3657272	2	SAMN53076690	soil	China:Inner Mongolia		non_saline_candidate		Bacillus pumilus
GCF_056781025.1	Bacillus pumilus	Complete Genome	current	3611834	1	SAMN56895992		China	soil	non_saline_candidate		Bacillus pumilus
GCF_977007725.1	Bacillus pumilus	Complete Genome	current	3775567	1	SAMEA120226968	Petroleum hydrocarbon-degrading enrichment culture obtained through microcosm enrichment of a PHC-polluted soil: FR_PLO_05_A_M1	France		non_saline_candidate		Bacillus pumilus
GCF_001679765.1	Bacillus sp. B25(2016b)	Chromosome	current	5113413	43	SAMN05256515	rhizospheric soil	Mexico: Sinaloa		non_saline_candidate		Bacillus sp.
GCF_002550645.1	Bacillus sp. AFS094611	Scaffold	current	5592442	75	SAMN07598637	core	USA: NC	Plant	non_saline_candidate		Bacillus sp.
GCF_002552175.1	Bacillus sp. AFS096315	Scaffold	current	5063370	81	SAMN07598668	soil	USA: IA		non_saline_candidate		Bacillus sp.
GCF_002555445.1	Bacillus sp. AFS017336	Scaffold	current	5704478	166	SAMN07597464	soil	USA: NY		non_saline_candidate		Bacillus sp.
GCF_002560985.1	Bacillus sp. AFS018417	Scaffold	current	4652556	159	SAMN07597482	soil	USA: IA		non_saline_candidate		Bacillus sp.
GCF_002561455.1	Bacillus sp. AFS015802	Scaffold	current	4368902	76	SAMN07597442	soil	USA: NC		non_saline_candidate		Bacillus sp.
GCF_002561875.1	Bacillus sp. AFS017274	Scaffold	current	5702307	90	SAMN07597463	root	USA: OH	Corn	non_saline_candidate		Bacillus sp.
GCF_002566505.1	Bacillus sp. AFS077874	Scaffold	current	5055293	71	SAMN07598441	root	USA: IA	Corn	non_saline_candidate		Bacillus sp.
GCF_002574545.1	Bacillus sp. AFS055030	Scaffold	current	4392053	93	SAMN07598124	plant root	USA: NC		non_saline_candidate		Bacillus sp.
GCF_002577195.1	Bacillus sp. AFS041924	Scaffold	current	4634545	162	SAMN07597951	plant root	USA: NC		non_saline_candidate		Bacillus sp.
GCF_002584635.1	Bacillus sp. AFS031507	Scaffold	current	6170817	142	SAMN07597818	root	USA: MN	Soybean	non_saline_candidate		Bacillus sp.
GCF_002584985.1	Bacillus sp. AFS029637	Scaffold	current	5016247	107	SAMN07597780	soil	USA: NC		non_saline_candidate		Bacillus sp.
GCF_002585125.1	Bacillus sp. AFS029533	Scaffold	current	5014565	92	SAMN07597777	soil	USA: IA		non_saline_candidate		Bacillus sp.
GCF_002585305.1	Bacillus sp. AFS037270	Scaffold	current	6606966	161	SAMN07597887	soil	USA: IA		non_saline_candidate		Bacillus sp.
GCF_006546985.1	Bacillus sp. 03113	Scaffold	current	4243931	44	SAMN11577514	rice soil	China	Oryza sativa	non_saline_candidate		Bacillus sp.
GCF_007363175.1	Bacillus sp. BD59S	Complete Genome	current	5645291	3	SAMN10615492	soil	Bangladesh		non_saline_candidate		Bacillus sp.
GCF_008042285.1	Bacillus sp. AR13-1	Scaffold	current	5940870	78	SAMN09370088	soil	Argentina: Buenos Aires, a tawn park		non_saline_candidate		Bacillus sp.
GCF_008042345.1	Bacillus sp. AR8-1	Scaffold	current	5699974	101	SAMN09370081	soil	Argentina: Buenos Aires, a tawn park		non_saline_candidate		Bacillus sp.
GCF_008042375.1	Bacillus sp. BF9-10	Scaffold	current	5567370	86	SAMN09370077	soil	Burkina Faso: Kouba, public road		non_saline_candidate		Bacillus sp.
GCF_008274865.1	Bacillus sp. AR4-2	Complete Genome	current	5438461	3	SAMN09370080	soil	Argentina: Buenos Aires, a tawn park		non_saline_candidate		Bacillus sp.
GCF_008368745.1	Bacillus sp. AY1-10	Scaffold	current	5612767	63	SAMN09370078	soil	Kazakhstan: Almaty, a town park		non_saline_candidate		Bacillus sp.
GCF_008368755.1	Bacillus sp. AR2-1	Scaffold	current	6117091	75	SAMN09370071	soil	Argentina: Buenos Aires, a tawn park		non_saline_candidate		Bacillus sp.
GCF_008368785.1	Bacillus sp. AY3-1	Scaffold	current	5360530	61	SAMN09370072	soil	Kazakhstan: Almaty, a town park		non_saline_candidate		Bacillus sp.
GCF_008368795.1	Bacillus sp. BF2-3	Scaffold	current	5775243	85	SAMN09370082	soil	Burkina Faso: Kouba, public road		non_saline_candidate		Bacillus sp.
GCF_008368805.1	Bacillus sp. BB56-3	Scaffold	current	6256096	132	SAMN09370086	soil	Poland: Biebrza National Park buffer zone		non_saline_candidate		Bacillus sp.
GCF_008368845.1	Bacillus sp. BB51/4	Scaffold	current	5716405	51	SAMN09370074	soil	Poland: Biebrza National Park buffer zone		non_saline_candidate		Bacillus sp.
GCF_008368895.1	Bacillus sp. BB081	Scaffold	current	5442865	165	SAMN09370075	soil	Poland: Biebrza National Park buffer zone		non_saline_candidate		Bacillus sp.
GCF_009183765.1	Bacillus sp. B3-WWTP-C-10-D-3	Scaffold	current	5258704	52	SAMN12925047	waste water treatment plant, downstream	South Africa: North-West, Potchefstroom		non_saline_candidate		Bacillus sp.
GCF_009183785.1	Bacillus sp. B4-WWTP-NA-D-NA-NA	Scaffold	current	5648013	133	SAMN12925048	waste water treatment plant	South Africa: North-West, Potchefstroom		non_saline_candidate		Bacillus sp.
GCF_009183795.1	Bacillus sp. B1-WWTP-T-0.5-Post-4	Scaffold	current	5501654	65	SAMN12925045	waste water treatment plant, post chlorination	South Africa: North-West, Potchefstroom		non_saline_candidate		Bacillus sp.
GCF_017161885.1	Bacillus sp. 3a	Chromosome	current	3721772	1	SAMN17221404	estuarine soil	Brazil: Regencia District, Espirito Santo State		non_saline_candidate		Bacillus sp.
GCF_019464555.1	Bacillus sp. 7D3	Complete Genome	current	3812926	1	SAMN19821082	wheat field soil	China: Nanjing		non_saline_candidate		Bacillus sp.
GCF_020783355.1	Bacillus sp. BC1-43	Complete Genome	current	4185798	2	SAMN22612658	soil	South Korea: Cheonan, Chungcheongnam-do		non_saline_candidate		Bacillus sp.
GCF_024453785.1	Bacillus siamensis	Complete Genome	current	4020075	1	SAMN29759001	root tuber	China: Zhejiang	wenyujin	non_saline_candidate		Bacillus siamensis
GCF_024722355.1	Bacillus sp. BAC	Complete Genome	current	4226888	1	SAMN30161627	soil	China:Gansu		non_saline_candidate		Bacillus sp.
GCF_027497645.1	Bacillus siamensis	Scaffold	current	3916442	72	SAMN23574916	soil	Guatemala: San Vicente Pacaya		non_saline_candidate		Bacillus siamensis
GCF_028401955.1	Bacillus sp. BP-3	Scaffold	current	5016350	80	SAMN32886131	paddy soil	China:Chenzhou		non_saline_candidate		Bacillus sp.
GCF_029536185.1	Bacillus sp. B28	Complete Genome	current	4132583	1	SAMN33764126	peanut rhizosphere soil	China: Qingdao, Shandong province	missing	non_saline_candidate		Bacillus sp.
GCF_030386235.1	Bacillus sp. B.PNR1	Scaffold	current	4113144	9	SAMN30608759	agricultural soil near extinct volcano	Thailand: Buriram, Panaom Rung		non_saline_candidate		Bacillus sp.
GCF_030403765.1	Bacillus sp. B.PNR2	Scaffold	current	4112807	10	SAMN32746351	Agicultural soil	Thailand: Buriram		non_saline_candidate		Bacillus sp.
GCF_035822615.1	Bacillus siamensis	Scaffold	current	3701307	28	SAMN33940735	soil	India		non_saline_candidate		Bacillus siamensis
GCF_039134555.1	Bacillus sp. BR3(2024)	Complete Genome	current	6011357	6	SAMN40127310	soil	China:Guangxi		non_saline_candidate		Bacillus sp.
GCF_040716265.1	Bacillus siamensis	Scaffold	current	3750285	13	SAMN36379395	Acid sulfate soil from rice cultivation	Viet Nam: Kien Giang province		non_saline_candidate		Bacillus siamensis
GCF_040716295.1	Bacillus siamensis	Scaffold	current	3823780	13	SAMN36379394	Acid sulfate soil from rice cultivation	Viet Nam: Kien Giang province		non_saline_candidate		Bacillus siamensis
GCF_045277205.1	Bacillus sp. A01H	Complete Genome	current	5910996	6	SAMN33196481	soil	China		non_saline_candidate		Bacillus sp.
GCF_046245155.1	Bacillus safensis	Complete Genome	current	3793516	1	SAMN45812046		China: Guizhou	Soil	non_saline_candidate		Bacillus safensis
GCF_046267945.1	Bacillus safensis	Complete Genome	current	3787572	1	SAMN45832065	soil	China: Bijie		non_saline_candidate		Bacillus safensis
GCF_047305475.1	Bacillus sp. 3P20	Complete Genome	current	5544404	4	SAMN37669924	rhizosphere soil	Malaysia	Pteris vittata	non_saline_candidate		Bacillus sp.
GCF_047307045.1	Bacillus sp. A31	Scaffold	current	3642156	29	SAMN38528114	soil	China: Anda	Salix	non_saline_candidate		Bacillus sp.
GCF_049542595.1	Bacillus safensis	Scaffold	current	3686322	10	SAMN47542913	roots	India: Gujarat	Lantana camara	non_saline_candidate		Bacillus safensis
GCF_051425535.1	Bacillus safensis	Complete Genome	current	3795137	1	SAMN49699285	chernozem soils	Russia: SFedU Botanical Garden		non_saline_candidate		Bacillus safensis
GCF_052044605.1	Bacillus sp. 22483	Scaffold	current	3723718	43	SAMN50301473	rhizosphere soil	China:Shandong, Linqu		non_saline_candidate		Bacillus sp.
GCF_052044835.1	Bacillus sp. 22475	Scaffold	current	6284914	130	SAMN50301471	rhizosphere soil	China:Shandong, Linqu		non_saline_candidate		Bacillus sp.
GCF_052044955.1	Bacillus sp. 22446	Scaffold	current	3745450	40	SAMN50301464	rhizosphere soil	China:Shandong, Linqu		non_saline_candidate		Bacillus sp.
GCF_052045225.1	Bacillus sp. 22293	Scaffold	current	4041503	36	SAMN50301448	rhizosphere soil	China:Guizhou, Bijie		non_saline_candidate		Bacillus sp.
GCF_052045475.1	Bacillus sp. 22266	Scaffold	current	4041380	32	SAMN50301444	rhizosphere soil	China:Guizhou, Bijie		non_saline_candidate		Bacillus sp.
GCF_052045575.1	Bacillus sp. 22190	Scaffold	current	3850320	61	SAMN50301436	rhizosphere soil	China:Henan, Biyang		non_saline_candidate		Bacillus sp.
GCF_053291865.1	Bacillus safensis	Complete Genome	current	3663256	1	SAMN50033526	Cypress rhizosphere soil	China:Beijing		non_saline_candidate		Bacillus safensis
GCF_053903065.1	Bacillus sp. AK031	Complete Genome	current	4310667	2	SAMN27610246	soil	Saudi Arabia: Thwual	Avicennia marina	non_saline_candidate		Bacillus sp.
GCF_053903075.1	Bacillus sp. AK128	Complete Genome	current	4712946	1	SAMN27610249	Plant	Saudi Arabia: Thwual	Avicennia marina	non_saline_candidate		Bacillus sp.
GCF_053903085.1	Bacillus sp. AK124	Complete Genome	current	4330884	1	SAMN27610248	Plant	Saudi Arabia: Thwual	Avicennia marina	non_saline_candidate		Bacillus sp.
GCF_053903095.1	Bacillus sp. AK130	Complete Genome	current	4330942	1	SAMN27610250	Plant	Saudi Arabia: Thwual	Avicennia marina	non_saline_candidate		Bacillus sp.
GCF_054343815.1	Bacillus safensis	Scaffold	current	3762819	35	SAMN52903209	soil	Uzbekistan: Tashkent		non_saline_candidate		Bacillus safensis
GCF_054456595.1	Bacillus sp. BMG-18	Complete Genome	current	4126734	1	SAMN54312534	roots	China: Xi an Village, Lanying Township, Wuxi County, Chongqing	Fritillaria taipaiensis	non_saline_candidate		Bacillus sp.
GCF_001183965.1	Bacillus sp. FJAT-27916	Scaffold	current	4154233	38	SAMN03840768	soil	China: Yunnan		non_saline_candidate		Bacillus sp.
GCF_001183975.1	Bacillus sp. FJAT-27231	Scaffold	current	4332205	18	SAMN03840767	soil	China: Jinlin		non_saline_candidate		Bacillus sp.
GCF_001184755.1	Bacillus sp. FJAT-27238	Scaffold	current	6134829	4	SAMN03840765	soil	China: Jilin		non_saline_candidate		Bacillus sp.
GCF_001273925.1	Bacillus sp. FJAT-27251	Scaffold	current	5043950	81	SAMN03853466	soil	China: Jinlin		non_saline_candidate		Bacillus sp.
GCF_001273955.1	Bacillus sp. FJAT-27245	Scaffold	current	4606627	22	SAMN03853470	soil	China: Jinlin		non_saline_candidate		Bacillus sp.
GCF_001278755.1	Bacillus sp. FJAT-22090	Chromosome	current	4215291	2	SAMN04009131	soil	China:Jiangxi		non_saline_candidate		Bacillus sp.
GCF_001278805.1	Bacillus sp. FJAT-18017	Chromosome	current	5265521	1	SAMN04009150	soil	China:Jiangxi		non_saline_candidate		Bacillus sp.
GCF_001420605.1	Bacillus sp. FJAT-25509	Scaffold	current	5117549	43	SAMN04038045	soil	China: Sichuan		non_saline_candidate		Bacillus sp.
GCF_001509555.1	Bacillus sp. FJAT-29937	Scaffold	current	4551322	44	SAMN04099166	soil	China: Fujian		non_saline_candidate		Bacillus sp.
GCF_001510665.1	Bacillus sp. FJAT-27445	Scaffold	current	4588063	57	SAMN04102801	soil	China:Yunnan		non_saline_candidate		Bacillus sp.
GCF_001510715.1	Bacillus sp. FJAT-29814	Scaffold	current	5888440	60	SAMN04102798	soil	China:Fujian		non_saline_candidate		Bacillus sp.
GCF_001682855.1	Bacillus sp. FJAT-27264	Scaffold	current	6681755	40	SAMN05003917	soil	China: Yunnan		non_saline_candidate		Bacillus sp.
GCF_001682865.1	Bacillus sp. FJAT-26390	Scaffold	current	7433303	43	SAMN04994729	soil	China: Xizang		non_saline_candidate		Bacillus sp.
GCF_001719225.1	Bacillus sp. FJAT-14266	Complete Genome	current	4109356	1	SAMN04631804	soil	China:Fujian		non_saline_candidate		Bacillus sp.
GCF_002335755.1	Bacillus sp. FJAT-45066	Scaffold	current	3899609	5	SAMN07212119	soil	China		non_saline_candidate		Bacillus sp.
GCF_002335805.1	Bacillus sp. FJAT-45350	Scaffold	current	4301594	23	SAMN07212143	soil	China		non_saline_candidate		Bacillus sp.
GCF_002797315.1	Bacillus sp. FJAT-44742	Scaffold	current	3989367	8	SAMN07249150	soil	China		non_saline_candidate		Bacillus sp.
GCF_002797325.1	Bacillus sp. FJAT-45037	Scaffold	current	3373087	5	SAMN07212054	soil	China		non_saline_candidate		Bacillus sp.
GCF_002797375.1	Bacillus sp. FJAT-42315	Scaffold	current	3708137	52	SAMN07249165	soil	China		non_saline_candidate		Bacillus sp.
GCF_002998455.1	Bacillus sp. GBSC66	Scaffold	current	3570267	23	SAMN08634935	grass roots	China: Tibet, Nyingchi		non_saline_candidate		Bacillus sp.
GCF_002998655.1	Bacillus sp. GBSW19	Scaffold	current	3618693	13	SAMN08637791	soil	China: Tibet		non_saline_candidate		Bacillus sp.
GCF_002998675.1	Bacillus sp. GBSW2	Scaffold	current	3676222	19	SAMN08636683	pea roots	China: Tibet, Nyingchi		non_saline_candidate		Bacillus sp.
GCF_003330965.1	Bacillus sp. DM2	Complete Genome	current	4322871	2	SAMN09630362	soil	China: Qinghai-Tibet Plateau		non_saline_candidate		Bacillus sp.
GCF_003355115.1	Bacillus sp. COPE52	Chromosome	current	5806513	74	SAMN09462204	Root endosphere	Mexico: Los Reyes, Michoacan	Rubus ulmifolius	non_saline_candidate		Bacillus sp.
GCF_003429225.1	Bacillus sp. E25	Chromosome	current	5915788	99	SAMN09461924	Tomato plant endosphere	Mexico: Zamora, Michoacan	Physalis ixocarpa	non_saline_candidate		Bacillus sp.
GCF_003816055.1	Bacillus sp. FJAT-42376	Chromosome	current	4253348	1	SAMN07249159	soil	China		non_saline_candidate		Bacillus sp.
GCF_008274905.1	Bacillus sp. JAS24-2	Complete Genome	current	6129653	3	SAMN09370087	soil	Poland: Jasienowka, farmland		non_saline_candidate		Bacillus sp.
GCF_008368945.1	Bacillus sp. JAS102	Scaffold	current	5266143	59	SAMN09370079	soil	Poland: Jasienowka, farmland		non_saline_candidate		Bacillus sp.
GCF_018139665.1	Bacillus sp. CCNWLCWHY013	Scaffold	current	4212765	23	SAMN18789873	soil	China:Luochuan		non_saline_candidate		Bacillus sp.
GCF_018343515.1	Bacillus sp. FJAT-50079	Scaffold	current	4739423	21	SAMN19008749	rhizosphere soil	China:Zhangzhou	citrus	non_saline_candidate		Bacillus sp.
GCF_018343615.1	Bacillus sp. FJAT-49736	Scaffold	current	4423788	24	SAMN19008744	rhizosphere soil	China:Zhangzhou	citrus	non_saline_candidate		Bacillus sp.
GCF_018343715.1	Bacillus sp. FJAT-49711	Scaffold	current	4767936	27	SAMN19008741	rhizosphere soil	China:Zhangzhou	citrus	non_saline_candidate		Bacillus sp.
GCF_019039175.1	Bacillus sp. FJAT-27001	Scaffold	current	4116982	83	SAMN05687775	soil	China:Yunnan		non_saline_candidate		Bacillus sp.
GCF_019039215.1	Bacillus sp. FJAT-29790	Scaffold	current	4546172	129	SAMN05687774	root	China:Fujian		non_saline_candidate		Bacillus sp.
GCF_020149975.1	Bacillus sp. CRB-7	Complete Genome	current	5264724	2	SAMN21211841	soil	China:Chengdu		non_saline_candidate		Bacillus sp.
GCF_023823855.1	Bacillus sp. CMF12	Complete Genome	current	5298346	1	SAMN22304401	soil	China		non_saline_candidate		Bacillus sp.
GCF_024398395.1	Bacillus sp. FS02	Complete Genome	current	3773439	1	SAMN18917214	soil	India: Palampur, HP		non_saline_candidate		Bacillus sp.
GCF_030292155.1	Bacillus sp. DX3.1	Complete Genome	current	5688347	9	SAMN34510080	field soil	Germany: Heida		non_saline_candidate		Bacillus sp.
GCF_037083485.1	Bacillus sp. CCNWLW147	Scaffold	current	6465501	80	SAMN39993313	soil	China:Shannxi		non_saline_candidate		Bacillus sp.
GCF_037083625.1	Bacillus sp. CCNWLW75	Scaffold	current	6465981	81	SAMN39992840	soil	China:Shannxi		non_saline_candidate		Bacillus sp.
GCF_037120585.1	Bacillus sp. CCNWLW194	Scaffold	current	6461468	78	SAMN40127321	soil	China:Shannxi		non_saline_candidate		Bacillus sp.
GCF_046054275.1	Bacillus sp. GX	Scaffold	current	5739651	57	SAMN44828888	soil	China:Nanchong		non_saline_candidate		Bacillus sp.
GCF_046351715.1	Bacillus sp. Bva_UNVM-123	Scaffold	current	5119099	173	SAMN18815149	soil	Argentina		non_saline_candidate		Bacillus sp.
GCF_054570475.1	Bacillus sp. C1	Scaffold	current	5169516	44	SAMN54531316	rhizosphere, land salinization	China: Daqing		non_saline_candidate		Bacillus sp.
GCF_056341055.1	Bacillus sp. HN03	Complete Genome	current	3983006	1	SAMN26816379	soil	China:Hainan		non_saline_candidate		Bacillus sp.
GCF_000970445.1	Bacillus sp. TH008	Scaffold	current	4458714	135	SAMN03291350	soil	USA: Ohio, Columbus, banks of Olentangy River		non_saline_candidate		Bacillus sp.
GCF_001429445.1	Bacillus sp. Root920	Scaffold	current	3676263	15	SAMN04155877		Germany:Cologne	Arabidopsis thaliana	non_saline_candidate		Bacillus sp.
GCF_001429465.1	Bacillus sp. Root11	Scaffold	current	6621700	63	SAMN04155694		Germany:Cologne	Arabidopsis thaliana	non_saline_candidate		Bacillus sp.
GCF_001429475.1	Bacillus sp. Root131	Scaffold	current	6523787	61	SAMN04155720		Germany:Cologne	Arabidopsis thaliana	non_saline_candidate		Bacillus sp.
GCF_002209985.1	Bacillus sp. K2I17	Scaffold	current	6112111	147	SAMN07259826	soil	Chile: Antarctic territory		non_saline_candidate		Bacillus sp.
GCF_002218325.1	Bacillus sp. M13(2017)	Scaffold	current	5873661	52	SAMN06323232	soil	China: Kanas Lake		non_saline_candidate		Bacillus sp.
GCF_002993125.1	Bacillus sp. LLTC93	Scaffold	current	3802952	19	SAMN08628415	beet soil	China: Nyingchi		non_saline_candidate		Bacillus sp.
GCF_002998085.1	Bacillus sp. NMCN1	Scaffold	current	3662514	12	SAMN08633934	Namtso Lake soil	China: Tibet, Lake Namtso, Nagqu		non_saline_candidate		Bacillus sp.
GCF_002998465.1	Bacillus sp. NMCC46	Scaffold	current	3632907	19	SAMN08636320	grass root soil	China:Tibet, Lake Namtso, Nagqu		non_saline_candidate		Bacillus sp.
GCF_002998555.1	Bacillus sp. NMCC4	Scaffold	current	3716705	23	SAMN08636338	soil	China: Tibet, Lhasa		non_saline_candidate		Bacillus sp.
GCF_002998575.1	Bacillus sp. LNXM65	Scaffold	current	3683458	20	SAMN08636368	soil	China: Tibet		non_saline_candidate		Bacillus sp.
GCF_002998605.1	Bacillus sp. MZGC1	Scaffold	current	3804143	16	SAMN08636787	soil	China: Tibet		non_saline_candidate		Bacillus sp.
GCF_002998615.1	Bacillus sp. LNXM10	Scaffold	current	3688268	18	SAMN08636686	wheat root soil	China: Tibet, Lhasa		non_saline_candidate		Bacillus sp.
GCF_002998735.1	Bacillus sp. NMTD17	Scaffold	current	3681961	14	SAMN08637800	barley roots soil	China: Tibet, Lhasa		non_saline_candidate		Bacillus sp.
GCF_003004355.1	Bacillus sp. LNXM12-2	Scaffold	current	3628483	14	SAMN08637793	wheat root soil	China: Tibet, Lhasa		non_saline_candidate		Bacillus sp.
GCF_003004375.1	Bacillus sp. LNXM12-1	Scaffold	current	3627244	12	SAMN08636788	soil	China: Tibet, Lhasa		non_saline_candidate		Bacillus sp.
GCF_003676355.1	Bacillus sp. L75	Scaffold	current	3963508	104	SAMN10089063	soils	China	Homo sapiens	non_saline_candidate		Bacillus sp.
GCF_004103875.1	Bacillus sp. WR11	Complete Genome	current	4202080	1	SAMN10225298	root	China	Triticum aestivum L.	non_saline_candidate		Bacillus sp.
GCF_005154805.1	Bacillus sp. S3	Complete Genome	current	5677811	2	SAMN11475527	Contaminated Mine Soils	China: Hunan		non_saline_candidate		Bacillus sp.
GCF_005937795.2	Bacillus sp. KBS0812	Complete Genome	current	4299846	2	SAMN11620959	soil	USA: Hickory Corners, MI		non_saline_candidate		Bacillus sp.
GCF_008042405.1	Bacillus sp. SH7-1	Scaffold	current	5798572	85	SAMN09370073	soil	Kenya: Shimba Hills National Reserve, car-park		non_saline_candidate		Bacillus sp.
GCF_008274885.1	Bacillus sp. SH8-8	Complete Genome	current	5439260	3	SAMN09370085	soil	Kenya: Shimba Hills National Reserve, car-park		non_saline_candidate		Bacillus sp.
GCF_008368855.1	Bacillus sp. TE8-1	Scaffold	current	5909200	72	SAMN09370084	soil	Kenya: Tsavo East National Park, car-park		non_saline_candidate		Bacillus sp.
GCF_008368905.1	Bacillus sp. SH5-2	Scaffold	current	5229578	57	SAMN09370090	soil	Kenya: Shimba Hills National Reserve, car-park		non_saline_candidate		Bacillus sp.
GCF_014250375.1	Bacillus sp. PAMC26543	Complete Genome	current	4101852	1	SAMN15794337	soil	Antarctica		non_saline_candidate		Bacillus sp.
GCF_014250415.1	Bacillus sp. PAMC28748	Complete Genome	current	4212838	1	SAMN15794283	soil	Antarctica		non_saline_candidate		Bacillus sp.
GCF_014250435.1	Bacillus sp. PAMC28571	Complete Genome	current	3793123	1	SAMN15794281	soil	Antarctica		non_saline_candidate		Bacillus sp.
GCF_014302175.1	Bacillus sp. PAMC22265	Complete Genome	current	3791266	1	SAMN15794277	soil	Antarctica		non_saline_candidate		Bacillus sp.
